iter	RMSE
0	8.659822338
1	8.100617351
2	7.554856093
3	7.101472921
4	6.628619024
5	6.226033252
6	5.881388567
7	5.532890508
8	5.223429582
9	4.959742071
10	4.731063031
11	4.500183168
12	4.284260077
13	4.092707595
14	3.910662166
15	3.72583291
16	3.595434461
17	3.458901936
18	3.333532693
19	3.234113355
20	3.126717606
21	3.048285483
22	2.989285284
23	2.918552169
24	2.863545222
25	2.798485878
26	2.741302338
27	2.69140881
28	2.640095536
29	2.590732048
30	2.547574129
31	2.506194454
32	2.477866371
33	2.435221079
34	2.407942737
35	2.374556853
36	2.346349008
37	2.316042924
38	2.285211146
39	2.249347703
40	2.221364728
41	2.200764901
42	2.177419292
43	2.15219741
44	2.117514995
45	2.095650881
46	2.072430991
47	2.047183071
48	2.030035145
49	2.012296273
50	1.983929428
51	1.960052359
52	1.931706123
53	1.914391592
54	1.892910767
55	1.873454675
56	1.853566491
57	1.839351936
58	1.822844258
59	1.807484336
60	1.794716196
61	1.779563956
62	1.762946969
63	1.746717366
64	1.727879294
65	1.710246999
66	1.697263803
67	1.682241063
68	1.662076814
69	1.651719828
70	1.638580014
71	1.622953618
72	1.607349625
73	1.597700213
74	1.581141414
75	1.563868714
76	1.548774534
77	1.534797377
78	1.517798872
79	1.50462096
80	1.492092882
81	1.47624753
82	1.459091166
83	1.444808442
84	1.431432579
85	1.421809434
86	1.402338674
87	1.391909523
88	1.380636958
89	1.366968371
90	1.353199504
91	1.338797842
92	1.329783505
93	1.318290777
94	1.307135778
95	1.300663076
96	1.287341569
97	1.278005811
98	1.264679594
99	1.259043415
