iter	Passed	Remaining
0	1	105
1	1	92
2	2	85
3	3	83
4	4	82
5	5	80
6	5	78
7	6	78
8	7	77
9	8	76
10	9	74
11	10	73
12	10	72
13	11	71
14	12	70
15	13	69
16	13	68
17	14	66
18	15	66
19	16	65
20	17	64
21	18	63
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	80	0
